"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(i_gaze_at;inf_smile;m_gaze_at)","(infant_voc)",0.118,53,49.202,0.0,0.4,0.0,5
"(i_gaze_at;inf_smile;infant_voc)","(m_gaze_at;mother-speech)",0.162,14,12.672,0.09375,0.21875,0.0,32
"(inf_smile;m_gaze_at;mo_smile)","(i_gaze_at)",0.471,15,165.675,0.0,0.47,0.0,100
"(i_gaze_at;inf_smile;m_gaze_at;mo_smile)","(mother-speech)",0.357,79,88.09,0.01,0.0,0.0,100
"(m_gaze_at;mother-speech)","(inf_smile)",0.157,91,157.298,0.23,0.0,0.02,100
"(inf_smile;mo_smile)","(i_gaze_at;m_gaze_at;mother-speech)",0.194,104,98.704,0.0,0.0,0.0,78
"(inf_smile;m_gaze_at;mother-speech)","(i_gaze_at;mo_smile)",0.155,17,50.878,0.0,1.0,0.0,11
"(inf_smile;mo_smile)","(mother-speech)",0.38,180,193.0,0.02,0.0,0.0,100
"(i_gaze_at;mo_smile)","(inf_smile;m_gaze_at)",0.231,128,212.689,0.0,0.0,0.0,100
"(inf_smile;infant_voc)","(m_gaze_at;mo_smile)",0.14,10,18.69,0.058823529411764705,0.3235294117647059,0.0,34
"(i_gaze_at)","(inf_smile)",0.256,268,549.825,0.67,0.0,0.67,100
"(i_gaze_at;inf_smile;mother-speech)","(m_gaze_at;mo_smile)",0.165,15,47.994,0.0,0.9333333333333333,0.0,15
"(i_gaze_at;inf_smile)","(m_gaze_at;mother-speech)",0.282,154,164.773,0.0,0.55,0.01,100
"(inf_smile;mother-speech)","(i_gaze_at;mo_smile)",0.147,22,75.792,0.0,0.972972972972973,0.0,37
"(m_gaze_at;mo_smile;mother-speech)","(i_gaze_at)",0.311,18,137.143,0.0,0.24,0.0,100
"(inf_smile;infant_voc;m_gaze_at)","(i_gaze_at;mo_smile)",0.17,4,14.632,0.0,0.4782608695652174,0.0,23
"(m_gaze_away)","(mo_smile)",0.507,6,40.918,0.010638297872340425,0.8297872340425532,0.010638297872340425,94
"(i_gaze_at;m_gaze_at)","(mo_smile;mother-speech)",0.201,337,291.288,0.0,0.0,0.0,100
"(infant_voc;m_gaze_at;mo_smile)","(i_gaze_at;inf_smile)",0.14,7,13.953,0.0,0.4,0.0,5
"(inf_smile;infant_voc;m_gaze_at)","(mo_smile)",0.189,7,16.263,0.10526315789473684,0.05263157894736842,0.0,76
"(m_gaze_at)","(i_gaze_at;mo_smile)",0.305,245,649.267,0.0,0.0,0.0,100
"(inf_smile)","(i_gaze_at;m_gaze_at;mo_smile)",0.175,90,195.879,0.0,0.15853658536585366,0.0,82
"(inf_smile;m_gaze_at)","(i_gaze_away)",0.104,36,65.025,0.8676470588235294,0.0,1.0,68
"(i_gaze_at;mo_smile)","(m_gaze_at_object)",0.145,117,134.043,1.0,0.0,1.0,100
"(i_gaze_at;inf_smile;infant_voc;m_gaze_at)","(mo_smile;mother-speech)",0.15,11,10.208,0.0,0.0,0.0,7
"(i_gaze_at)","(m_gaze_at;mo_smile)",0.303,293,649.705,0.0,0.0,0.0,100
"(i_gaze_at)","(mo_smile)",0.397,241,852.4,0.0,0.01,0.0,100
"(m_gaze_away;mo_smile)","(i_gaze_away)",0.423,2,20.16,0.0,0.7931034482758621,0.0,29
"(inf_smile)","(i_gaze_at;m_gaze_at;mother-speech)",0.155,179,174.366,0.010101010101010102,0.5454545454545454,0.010101010101010102,99
"(mo_smile)","(i_gaze_at;mother-speech)",0.244,371,367.58,0.0,0.0,0.0,100
"(inf_smile;m_gaze_at;mo_smile;mother-speech)","(i_gaze_at)",0.24,5,45.748,0.0,0.72,0.0,75
"(i_gaze_at;mo_smile)","(m_gaze_at)",0.603,92,555.486,0.0,0.58,0.0,100
"(inf_smile;mo_smile;mother-speech)","(i_gaze_at)",0.277,7,70.257,0.0,0.865979381443299,0.0,97
"(i_gaze_at;inf_smile;mo_smile)","(m_gaze_at;mother-speech)",0.288,93,93.934,0.0,0.0,0.0,100
"(inf_smile;infant_voc;mo_smile)","(i_gaze_at;mother-speech)",0.141,11,8.578,0.3076923076923077,0.19230769230769232,0.0,26
"(inf_smile;m_gaze_at)","(mother-speech)",0.39,204,243.129,0.02,0.77,0.18,100
"(i_gaze_at;mother-speech)","(mo_smile)",0.207,71,200.758,0.01,0.33,0.0,100
"(mo_smile)","(mother-speech)",0.35,499,526.709,0.2,0.02,0.2,100
"(m_gaze_at)","(inf_smile;mother-speech)",0.143,364,305.799,0.02,0.01,0.02,100
"(inf_smile;mo_smile)","(m_gaze_at)",0.464,44,235.711,0.21,0.37,0.02,100
"(m_gaze_at)","(i_gaze_at)",0.622,124,1322.966,0.0,0.17,0.0,100
"(i_gaze_at;inf_smile;m_gaze_at)","(mother-speech)",0.374,129,155.138,0.0,0.25,0.0,100
"(i_gaze_at;m_gaze_at)","(mo_smile)",0.417,186,604.216,0.0,0.0,0.0,100
"(inf_smile;m_gaze_at)","(mo_smile;mother-speech)",0.235,158,146.628,0.0,0.0,0.0,100
"(i_gaze_at;m_gaze_at)","(inf_smile)",0.257,212,372.406,0.36,0.0,0.01,100
"(m_gaze_at)","(inf_smile;mo_smile)",0.153,199,325.644,0.0,0.0,0.0,96
"(inf_smile;mo_smile)","(m_gaze_at;mother-speech)",0.27,140,137.074,0.0,0.0,0.0,100
"(inf_smile;m_gaze_at)","(i_gaze_at;mo_smile)",0.291,55,181.406,0.0,0.14,0.0,100
"(i_gaze_away;mo_smile)","(m_gaze_at_object)",0.182,24,31.397,0.8080808080808081,0.04040404040404041,0.9696969696969697,99
"(mo_smile)","(i_gaze_at;m_gaze_at)",0.404,159,607.794,0.0,0.18,0.0,100
"(inf_smile;mother-speech)","(i_gaze_at;m_gaze_at)",0.176,28,90.437,0.0,0.9375,0.0,96
"(m_gaze_at;mo_smile)","(mother-speech)",0.36,346,355.431,0.0,0.0,0.0,100
"(inf_smile)","(m_gaze_at;mo_smile)",0.261,112,292.345,0.0,0.19,0.0,100
"(m_gaze_away)","(i_gaze_away)",0.297,2,23.997,0.0,0.9038461538461539,0.0,52
"(inf_smile;infant_voc;m_gaze_at;mo_smile)","(i_gaze_at;mother-speech)",0.162,10,7.966,0.15384615384615385,0.0,0.0,13
"(i_gaze_at;inf_smile;mother-speech)","(mo_smile)",0.238,14,69.205,0.0,0.7938144329896907,0.0,97
"(mo_smile;mother-speech)","(inf_smile)",0.198,45,119.677,0.0,0.55,0.01,100
"(mo_smile)","(i_gaze_at;inf_smile;m_gaze_at)",0.147,153,222.107,0.0,0.0,0.0,13
