"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(m_gaze_at;mo_smile)","(inf_smile)",0.272,95,268.43,0.1,0.0,0.0,100
"(m_gaze_away)","(i_gaze_away;inf_smile)",0.184,1,14.876,0.0,1.0,0.0,14
"(mother-speech)","(i_gaze_at)",0.297,37,469.659,0.0,0.61,0.0,100
"(i_gaze_at;inf_smile;mo_smile;mother-speech)","(m_gaze_at)",0.169,2,29.004,0.09302325581395349,0.9534883720930233,0.0,43
"(m_gaze_at)","(inf_smile)",0.264,261,562.802,0.72,0.0,0.72,100
"(i_gaze_at;inf_smile;m_gaze_at;mother-speech)","(mo_smile)",0.196,4,43.846,0.0,0.7142857142857143,0.0,21
"(i_gaze_at;mo_smile)","(inf_smile;mother-speech)",0.148,148,136.416,0.0,0.0,0.0,39
"(i_gaze_at;mo_smile;mother-speech)","(inf_smile)",0.193,19,80.546,0.0,0.045454545454545456,0.0,66
"(inf_smile;infant_voc;mo_smile)","(i_gaze_at)",0.22,1,13.4,0.15625,1.0,0.0,32
"(m_gaze_at;mo_smile;mother-speech)","(inf_smile)",0.165,21,72.863,0.0,0.047619047619047616,0.0,63
"(i_gaze_at;mother-speech)","(m_gaze_at)",0.254,27,246.767,0.03,0.98,0.0,100
"(i_gaze_at)","(inf_smile;m_gaze_at)",0.183,258,394.016,0.04,0.0,0.03,100
"(i_gaze_at;m_gaze_at)","(mother-speech)",0.384,482,556.371,0.0,0.0,0.0,100
"(mo_smile)","(inf_smile)",0.288,125,433.911,0.03,0.69,0.01,100
"(i_gaze_away)","(m_gaze_at_object)",0.361,54,195.229,0.06,0.01,0.06,100
"(i_gaze_at;m_gaze_at;mo_smile;mother-speech)","(inf_smile)",0.17,18,57.265,0.0,0.0,0.0,9
"(m_gaze_at)","(i_gaze_at;inf_smile)",0.18,244,382.803,0.02,0.0,0.02,100
"(i_gaze_at;inf_smile;mo_smile)","(m_gaze_at_object)",0.124,26,40.665,0.9292929292929293,0.020202020202020204,0.696969696969697,99
"(i_gaze_at;mother-speech)","(m_gaze_at;mo_smile)",0.14,43,135.833,0.0,0.4,0.0,5
"(inf_smile;mo_smile)","(i_gaze_at;m_gaze_at)",0.346,38,176.01,0.0,0.17,0.0,100
"(m_gaze_at;mother-speech)","(i_gaze_at)",0.289,21,288.494,0.0,0.29,0.0,100
"(m_gaze_at;mo_smile)","(i_gaze_at;inf_smile)",0.204,97,201.536,0.0,0.0,0.0,99
"(inf_smile;m_gaze_at;mo_smile)","(mother-speech)",0.289,76,101.7,0.16,0.0,0.01,100
"(mother-speech)","(i_gaze_at;mo_smile)",0.13,52,205.642,0.0,0.6842105263157895,0.0,19
"(i_gaze_at;m_gaze_at;mo_smile)","(inf_smile;mother-speech)",0.137,103,97.169,0.0,0.0,0.0,11
"(mo_smile)","(m_gaze_at;mother-speech)",0.235,349,354.622,0.0,0.0,0.0,100
"(inf_smile;m_gaze_at)","(mo_smile)",0.422,35,263.108,0.0,0.86,0.0,100
"(inf_smile;mo_smile)","(i_gaze_at;mother-speech)",0.212,92,107.794,0.0,0.0,0.0,100
"(i_gaze_at;m_gaze_at;mother-speech)","(mo_smile)",0.184,30,130.716,0.0,0.012345679012345678,0.0,81
"(inf_smile;m_gaze_at;mo_smile)","(i_gaze_at;mother-speech)",0.197,54,69.363,0.010869565217391304,0.010869565217391304,0.0,92
"(mo_smile)","(i_gaze_at;inf_smile)",0.193,122,290.587,0.0,0.02,0.0,100
"(inf_smile;m_gaze_at_object)","(i_gaze_at)",0.223,23,88.343,0.99,0.02,0.98,100
"(inf_smile)","(mo_smile;mother-speech)",0.178,192,199.31,0.0,0.02,0.0,100
"(i_gaze_at;mo_smile;mother-speech)","(m_gaze_at)",0.255,10,106.557,0.0,0.7717391304347826,0.0,92
"(mo_smile;mother-speech)","(i_gaze_at)",0.309,13,186.974,0.0,0.59,0.0,100
"(m_gaze_at_object)","(i_gaze_at)",0.313,83,487.477,1.0,0.02,1.0,100
"(i_gaze_at;inf_smile;m_gaze_at)","(mo_smile;mother-speech)",0.196,66,81.519,0.0,0.030303030303030304,0.0,66
"(mother-speech)","(m_gaze_at;mo_smile)",0.133,70,210.726,0.0,0.3333333333333333,0.0,27
"(i_gaze_away)","(m_gaze_at)",0.35,62,189.642,1.0,0.0,1.0,100
"(i_gaze_at;inf_smile;infant_voc)","(m_gaze_at;mo_smile)",0.139,1,10.875,0.0625,1.0,0.0,16
"(inf_smile)","(mo_smile)",0.38,62,425.461,0.01,0.99,0.01,100
"(i_gaze_away;m_gaze_away)","(inf_smile)",0.539,1,14.876,0.027777777777777776,1.0,0.0,36
