"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(i_gaze_at)","(i_gaze_at)",0.02631578947368421,0.0,0.02631578947368421,76
"(mo_smile;mother-speech;infant_voc)","(mo_smile;mother-speech;infant_voc)",0.0,0.7,0.0,10
"(mother-speech)","(mother-speech)",0.0,0.86,0.0,100
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.2,0.0,0.0,25
"(inf_smile)","(inf_smile)",0.0,0.375,0.0,8
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.6538461538461539,0.0,52
"(mo_smile)","(mo_smile)",0.0,0.3,0.0,50
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.84,0.0,25
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.0,0.0,0.0,74
"(mo_smile;infant_voc;inf_smile)","(mo_smile;infant_voc;inf_smile)",0.0,0.5454545454545454,0.0,11
"(i_gaze_at)","(i_gaze_at)",0.0,0.0,0.0,62
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.5833333333333334,0.041666666666666664,0.0,24
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.6410256410256411,0.0,78
"(m_gaze_at;mother-speech;inf_smile)","(m_gaze_at;mother-speech;inf_smile)",0.0,0.4090909090909091,0.0,44
"(m_gaze_at;i_gaze_at)","(m_gaze_at;i_gaze_at)",0.4864864864864865,0.0,0.0,74
"(inf_smile)","(inf_smile)",0.17204301075268819,0.010752688172043012,0.13978494623655913,93
