"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mo_smile;mother-speech;i_gaze_at)","(mo_smile;mother-speech;i_gaze_at)",0.0,0.0,0.0,8
"(mo_smile;mother-speech;inf_smile)","(mo_smile;mother-speech;inf_smile)",1.0,0.0,0.6,15
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.0,0.0,24
"(mother-speech;infant_voc)","(mother-speech;infant_voc)",0.03614457831325301,0.6746987951807228,0.21686746987951808,83
"(infant_voc)","(infant_voc)",0.0,0.66,0.02,100
"(mother-speech)","(mother-speech)",0.02,0.98,0.0,100
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.0,0.0,52
"(mother-speech;inf_smile)","(mother-speech;inf_smile)",0.0,0.9545454545454546,0.0,44
"(m_gaze_at)","(m_gaze_at)",0.0,0.0,0.0,68
"(m_gaze_at)","(m_gaze_at)",0.0,0.14,0.0,100
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.4666666666666667,0.06666666666666667,0.0,15
"(i_gaze_away)","(i_gaze_away)",0.01,0.22,0.03,100
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.0,0.9855072463768116,0.07246376811594203,69
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.5789473684210527,0.0,76
"(mo_smile)","(mo_smile)",0.0,0.0,0.0,62
"(m_gaze_at;i_gaze_at;infant_voc;inf_smile)","(m_gaze_at;i_gaze_at;infant_voc;inf_smile)",0.0,0.4,0.0,5
"(m_gaze_at;inf_smile;i_gaze_away)","(m_gaze_at;inf_smile;i_gaze_away)",0.0,0.09090909090909091,0.0,11
"(m_gaze_at;i_gaze_away)","(m_gaze_at;i_gaze_away)",0.029411764705882353,1.0,0.5294117647058824,34
"(mo_smile)","(mo_smile)",0.0,0.0,0.0,16
"(mo_smile;inf_smile;i_gaze_at_object)","(mo_smile;inf_smile;i_gaze_at_object)",0.0,1.0,1.0,10
"(i_gaze_at;infant_voc;inf_smile)","(i_gaze_at;infant_voc;inf_smile)",0.0,0.375,0.0,8
"(i_gaze_at)","(i_gaze_at)",0.0,0.89,0.0,100
"(infant_voc)","(infant_voc)",0.0,0.7746478873239436,0.014084507042253521,71
"(mother-speech;i_gaze_at;inf_smile)","(mother-speech;i_gaze_at;inf_smile)",0.0,1.0,0.0,6
"(infant_voc;i_gaze_away)","(infant_voc;i_gaze_away)",0.6046511627906976,0.023255813953488372,0.8604651162790697,43
"(mo_smile;mother-speech;infant_voc)","(mo_smile;mother-speech;infant_voc)",0.0,1.0,0.0,14
"(inf_smile)","(inf_smile)",0.0,0.8333333333333334,0.0,42
"(mother-speech)","(mother-speech)",0.0,0.84,0.0,50
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.3488372093023256,0.0,0.06976744186046512,43
"(mo_smile;mother-speech;i_gaze_at)","(mo_smile;mother-speech;i_gaze_at)",0.0,0.0,0.0,10
"(mo_smile;mother-speech;infant_voc)","(mo_smile;mother-speech;infant_voc)",0.0,1.0,0.0,5
"(mo_smile;mother-speech)","(mo_smile;mother-speech)",0.0,0.92,0.0,25
"(mo_smile;m_gaze_at;inf_smile)","(mo_smile;m_gaze_at;inf_smile)",0.6666666666666666,0.0,0.16666666666666666,6
"(m_gaze_at;inf_smile)","(m_gaze_at;inf_smile)",0.0,0.9078947368421053,0.15789473684210525,76
"(m_gaze_at)","(m_gaze_at)",0.5,0.04,0.59,100
