event_a,event_b,Column3,prob_b_given_a,pair seen x times,Insgesamt: die Dauer,comments
"(mother-speech, inf_smile, i_gaze_away)","(m_gaze_at, mo_",smile),0.205,13,32349.00,
"(mother-speech, infant_voc)","(m_gaze_at, i_g",aze_at),0.203,33,81214.00,
(infant_voc),"(mother-speech,","m_gaze_at, i_gaze_at)",0.203,33,81214.00,
(infant_voc),"(m_gaze_at, i_g",aze_at),0.203,33,81214.00,
"(mother-speech, m_gaze_at, i_gaze_at, infant_voc)",(mo_smile),,0.202,21,35173.00,
"(mo_smile, i_gaze_at, m_gaze_at_object)",(inf_smile),,0.202,9,33244.00,
"(mother-speech, mo_smile, i_gaze_at, m_gaze_at_object)",(inf_smile),,0.202,9,33244.00,
"(m_gaze_at, i_gaze_at, infant_voc)",(mo_smile),,0.202,21,35173.00,
"(m_gaze_at, i_gaze_at, infant_voc)","(mother-speech,",mo_smile),0.202,21,35173.00,
"(mother-speech, mo_smile)",(m_gaze_at_obje,ct),0.201,203,302459.00,
"(mother-speech, mo_smile)","(m_gaze_at, inf",_smile),0.201,180,302046.00,
"(mother-speech, mo_smile)","(i_gaze_at, inf",_smile),0.201,149,301721.00,
(mo_smile),(m_gaze_at_obje,ct),0.201,203,302459.00,
(mo_smile),"(mother-speech,",m_gaze_at_object),0.201,203,302459.00,
(mo_smile),"(mother-speech,","m_gaze_at, inf_smile)",0.2,180,302046.00,
(mo_smile),"(m_gaze_at, inf",_smile),0.2,180,302046.00,
(mo_smile),"(mother-speech,","i_gaze_at, inf_smile)",0.2,149,301721.00,
(mo_smile),"(i_gaze_at, inf",_smile),0.2,149,301721.00,
"(mother-speech, m_gaze_at, mo_smile, i_gaze_at, infant_voc)",(inf_smile),,0.199,11,16735.00,
"(mother-speech, m_gaze_at, i_gaze_at, infant_voc)",(inf_smile),,0.198,27,34457.00,
"(m_gaze_at, mo_smile, i_gaze_at, infant_voc)",(inf_smile),,0.198,11,16735.00,
"(m_gaze_at, mo_smile, i_gaze_at, infant_voc)","(mother-speech,",inf_smile),0.198,11,16735.00,
"(m_gaze_at, i_gaze_at, infant_voc)",(inf_smile),,0.197,27,34457.00,
"(m_gaze_at, i_gaze_at, infant_voc)","(mother-speech,",inf_smile),0.197,27,34457.00,
"(mo_smile, m_gaze_at_object)",(i_gaze_at_obje,ct),0.196,27,67023.00,
"(mo_smile, m_gaze_at_object)","(mother-speech,",i_gaze_at_object),0.196,27,67023.00,
"(mother-speech, mo_smile, m_gaze_at_object)",(i_gaze_at_obje,ct),0.196,27,67023.00,
"(mother-speech, m_gaze_away)","(inf_smile, i_g",aze_away),0.194,2,15121.00,
"(mo_smile, i_gaze_away)","(mother-speech,",m_gaze_at_object),0.191,26,32908.00,
"(mo_smile, i_gaze_away)",(m_gaze_at_obje,ct),0.191,26,32908.00,
"(mother-speech, mo_smile, i_gaze_away)",(m_gaze_at_obje,ct),0.191,26,32908.00,
"(mother-speech, i_gaze_at, infant_voc)",(mo_smile),,0.191,23,42426.00,
"(mother-speech, mo_smile, i_gaze_at, infant_voc)",(inf_smile),,0.19,12,18382.00,
"(i_gaze_at, infant_voc)","(mother-speech,",mo_smile),0.19,23,42426.00,
"(i_gaze_at, infant_voc)",(mo_smile),,0.19,23,42426.00,
"(mo_smile, i_gaze_at, infant_voc)",(inf_smile),,0.189,12,18382.00,
"(mo_smile, i_gaze_at, infant_voc)","(mother-speech,",inf_smile),0.189,12,18382.00,
"(mo_smile, inf_smile, i_gaze_at_object)",(m_gaze_at_obje,ct),0.189,5,6173.00,
"(mo_smile, inf_smile, i_gaze_at_object)","(mother-speech,",m_gaze_at_object),0.189,5,6173.00,
"(mother-speech, mo_smile, inf_smile, i_gaze_at_object)",(m_gaze_at_obje,ct),0.189,5,6173.00,
"(mother-speech, i_gaze_at)","(m_gaze_at, inf",_smile),0.188,283,401478.00,
(m_gaze_away),"(mother-speech,","inf_smile, i_gaze_away)",0.187,2,15121.00,
(m_gaze_away),"(inf_smile, i_g",aze_away),0.187,2,15121.00,
(i_gaze_at),"(mother-speech,","m_gaze_at, inf_smile)",0.187,283,401478.00,
(i_gaze_at),"(m_gaze_at, inf",_smile),0.187,283,401478.00,
"(mother-speech, mo_smile, i_gaze_at, infant_voc)","(m_gaze_at, inf",_smile),0.186,15,17.96,
"(mo_smile, i_gaze_at, inf_smile)",(mother-speech),,0.185,1,60435.00,
"(mo_smile, i_gaze_at, infant_voc)","(mother-speech,","m_gaze_at, inf_smile)",0.185,15,17.96,
"(mo_smile, i_gaze_at, infant_voc)","(m_gaze_at, inf",_smile),0.185,15,17.96,
"(mother-speech, i_gaze_at, infant_voc)",(inf_smile),,0.184,33,41004.00,
"(mother-speech, m_gaze_at, infant_voc)",(mo_smile),,0.184,29,42733.00,
"(mother-speech, m_gaze_at)","(i_gaze_at, inf",_smile),0.184,265,390263.00,
"(i_gaze_at, infant_voc)","(mother-speech,",inf_smile),0.184,33,41004.00,
"(i_gaze_at, infant_voc)",(inf_smile),,0.184,33,41004.00,
"(m_gaze_at, infant_voc)","(mother-speech,",mo_smile),0.183,29,42733.00,
"(m_gaze_at, infant_voc)",(mo_smile),,0.183,29,42733.00,
(m_gaze_at),"(mother-speech,","i_gaze_at, inf_smile)",0.183,265,390263.00,
(m_gaze_at),"(i_gaze_at, inf",_smile),0.183,265,390263.00,
"(mother-speech, m_gaze_at, mo_smile, infant_voc)",(inf_smile),,0.181,11,18052.00,
"(mother-speech, i_gaze_at, inf_smile)",(m_gaze_at_obje,ct),0.181,64,105853.00,
"(i_gaze_at, inf_smile)","(mother-speech,",m_gaze_at_object),0.181,64,105853.00,
"(i_gaze_at, inf_smile)",(m_gaze_at_obje,ct),0.181,64,105853.00,
"(m_gaze_at, mo_smile, infant_voc)",(inf_smile),,0.181,11,18052.00,
"(m_gaze_at, mo_smile, infant_voc)","(mother-speech,",inf_smile),0.181,11,18052.00,
"(mother-speech, m_gaze_at, infant_voc)",(inf_smile),,0.181,29,41988.00,
"(mother-speech, inf_smile)","(m_gaze_at, mo_","smile, i_gaze_at)",0.181,106,201992.00,
(inf_smile),"(m_gaze_at, mo_","smile, i_gaze_at)",0.18,106,201992.00,
(inf_smile),"(mother-speech,","m_gaze_at, mo_smile, i_gaze_at)",0.18,106,201992.00,
"(m_gaze_at, infant_voc)","(mother-speech,",inf_smile),0.18,29,41988.00,
"(m_gaze_at, infant_voc)",(inf_smile),,0.18,29,41988.00,
(mother-speech),"(m_gaze_at, mo_","smile, i_gaze_at)",0.178,366,702442.00,
"(mo_smile, m_gaze_at_object)","(mother-speech,",inf_smile),0.177,17,60458.00,
"(mother-speech, mo_smile, infant_voc)",(inf_smile),,0.177,13,23446.00,
"(mother-speech, m_gaze_away)","(mo_smile, inf_","smile, i_gaze_away)",0.177,2,42960.00,
"(mo_smile, infant_voc)","(mother-speech,",inf_smile),0.177,13,23446.00,
"(mo_smile, infant_voc)",(inf_smile),,0.177,13,23446.00,
"(mo_smile, m_gaze_at_object)",(inf_smile),,0.174,16,59365.00,
"(mother-speech, mo_smile, m_gaze_at_object)",(inf_smile),,0.174,16,59365.00,
"(mother-speech, m_gaze_at, infant_voc, inf_smile, i_gaze_at_object)",(mo_smile),,0.174,1,0.328,
"(m_gaze_at, infant_voc, inf_smile, i_gaze_at_object)",(mo_smile),,0.174,1,0.328,
"(m_gaze_at, infant_voc, inf_smile, i_gaze_at_object)","(mother-speech,",mo_smile),0.174,1,0.328,
"(mother-speech, infant_voc, inf_smile)","(m_gaze_at, mo_",smile),0.174,20,23137.00,
"(infant_voc, inf_smile)","(mother-speech,","m_gaze_at, mo_smile)",0.174,20,23137.00,
"(infant_voc, inf_smile)","(m_gaze_at, mo_",smile),0.174,20,23137.00,
"(infant_voc, inf_smile, i_gaze_away)",(m_gaze_at_obje,ct),0.172,4,2009.00,
"(infant_voc, inf_smile, i_gaze_away)","(mother-speech,",m_gaze_at_object),0.172,4,2009.00,
"(mother-speech, infant_voc, inf_smile, i_gaze_away)",(m_gaze_at_obje,ct),0.172,4,2009.00,
"(mother-speech, infant_voc)",(inf_smile),,0.172,43,68685.00,
(infant_voc),(inf_smile),,0.171,43,68685.00,
(infant_voc),"(mother-speech,",inf_smile),0.171,43,68685.00,
(m_gaze_away),"(mother-speech,","mo_smile, inf_smile, i_gaze_away)",0.171,2,42960.00,
(m_gaze_away),"(mo_smile, inf_","smile, i_gaze_away)",0.171,2,42960.00,
"(mother-speech, i_gaze_at, infant_voc)","(m_gaze_at, inf",_smile),0.17,34,37788.00,
"(mother-speech, m_gaze_at, mo_smile, infant_voc)","(i_gaze_at, inf",_smile),0.17,12,16874.00,
"(i_gaze_at, infant_voc)","(mother-speech,","m_gaze_at, inf_smile)",0.169,34,37788.00,
"(i_gaze_at, infant_voc)","(m_gaze_at, inf",_smile),0.169,34,37788.00,
"(m_gaze_at, mo_smile, infant_voc)","(mother-speech,","i_gaze_at, inf_smile)",0.169,12,16874.00,
"(m_gaze_at, mo_smile, infant_voc)","(i_gaze_at, inf",_smile),0.169,12,16874.00,
"(mother-speech, infant_voc)",(m_gaze_at_obje,ct),0.168,41,67409.00,
(infant_voc),(m_gaze_at_obje,ct),0.168,41,67409.00,
(infant_voc),"(mother-speech,",m_gaze_at_object),0.168,41,67409.00,
"(mother-speech, i_gaze_at, infant_voc)","(m_gaze_at, mo_",smile),0.168,30,37388.00,
"(i_gaze_at, inf_smile)",(mother-speech),,0.168,1,98229.00,
"(i_gaze_at, infant_voc)","(m_gaze_at, mo_",smile),0.167,30,37388.00,
"(i_gaze_at, infant_voc)","(mother-speech,","m_gaze_at, mo_smile)",0.167,30,37388.00,
"(inf_smile, i_gaze_at_object)","(mother-speech,",mo_smile),0.161,10,16469.00,
"(inf_smile, i_gaze_at_object)",(mo_smile),,0.161,10,16469.00,
"(mother-speech, inf_smile, i_gaze_at_object)",(mo_smile),,0.161,10,16469.00,
(mother-speech),"(m_gaze_at, inf",_smile),0.157,407,622245.00,
"(i_gaze_at, m_gaze_at_object)","(mother-speech,",inf_smile),0.157,44,98182.00,
(mother-speech),"(i_gaze_at, m_g",aze_at_object),0.157,356,619279.00,
"(mother-speech, m_gaze_at, infant_voc)","(mo_smile, i_ga",ze_at),0.156,25,36301.00,
"(mother-speech, i_gaze_at, m_gaze_at_object)",(inf_smile),,0.156,43,97089.00,
"(mother-speech, mo_smile)",(i_gaze_at_obje,ct),0.156,71,234124.00,
"(mother-speech, infant_voc, inf_smile)","(mo_smile, i_ga",ze_at),0.156,13,20.75,
"(infant_voc, inf_smile)","(mother-speech,","mo_smile, i_gaze_at)",0.156,13,20.75,
"(infant_voc, inf_smile)","(mo_smile, i_ga",ze_at),0.156,13,20.75,
"(m_gaze_at, infant_voc)","(mother-speech,","mo_smile, i_gaze_at)",0.156,25,36301.00,
"(m_gaze_at, infant_voc)","(mo_smile, i_ga",ze_at),0.156,25,36301.00,
"(i_gaze_at, m_gaze_at_object)",(inf_smile),,0.155,43,97089.00,
(mo_smile),(i_gaze_at_obje,ct),0.155,71,234124.00,
(mo_smile),"(mother-speech,",i_gaze_at_object),0.155,71,234124.00,
"(mother-speech, m_gaze_at, i_gaze_at)","(mo_smile, inf_",smile),0.155,159,224417.00,
"(mother-speech, infant_voc)",(mo_smile),,0.155,36,62024.00,
"(mother-speech, m_gaze_at)","(mo_smile, inf_",smile),0.155,210,329489.00,
(infant_voc),(mo_smile),,0.155,36,62024.00,
(infant_voc),"(mother-speech,",mo_smile),0.155,36,62024.00,
(m_gaze_at),"(mother-speech,","mo_smile, inf_smile)",0.155,210,329489.00,
(m_gaze_at),"(mo_smile, inf_",smile),0.155,210,329489.00,
"(m_gaze_at, i_gaze_at)","(mother-speech,","mo_smile, inf_smile)",0.154,159,224417.00,
"(m_gaze_at, i_gaze_at)","(mo_smile, inf_",smile),0.154,159,224417.00,
"(mother-speech, i_gaze_at, m_gaze_at_object)",(mo_smile),,0.154,36,95516.00,
"(mother-speech, mo_smile, inf_smile)",(m_gaze_at_obje,ct),0.153,65,77761.00,
"(mother-speech, mo_smile, infant_voc)","(m_gaze_at, inf",_smile),0.153,16,20325.00,
"(mo_smile, infant_voc)","(mother-speech,","m_gaze_at, inf_smile)",0.153,16,20325.00,
"(mo_smile, infant_voc)","(m_gaze_at, inf",_smile),0.153,16,20325.00,
"(mother-speech, m_gaze_at_object)",(mo_smile),,0.153,80,237962.00,
"(i_gaze_at, m_gaze_at_object)","(mother-speech,",mo_smile),0.153,36,95516.00,
"(i_gaze_at, m_gaze_at_object)",(mo_smile),,0.153,36,95516.00,
"(mo_smile, inf_smile)",(m_gaze_at_obje,ct),0.153,65,77761.00,
"(mo_smile, inf_smile)","(mother-speech,",m_gaze_at_object),0.153,65,77761.00,
(m_gaze_at_object),(mo_smile),,0.153,80,237962.00,
(m_gaze_at_object),"(mother-speech,",mo_smile),0.153,80,237962.00,
"(mother-speech, mo_smile, i_gaze_at)",(m_gaze_at_obje,ct),0.151,125,139011.00,
"(mo_smile, i_gaze_at)","(mother-speech,",m_gaze_at_object),0.151,125,139011.00,
"(mo_smile, i_gaze_at)",(m_gaze_at_obje,ct),0.151,125,139011.00,
"(mother-speech, mo_smile)","(m_gaze_at, i_g","aze_at, inf_smile)",0.15,161,225823.00,
(mo_smile),"(mother-speech,","m_gaze_at, i_gaze_at, inf_smile)",0.15,161,225823.00,
(mo_smile),"(m_gaze_at, i_g","aze_at, inf_smile)",0.15,161,225823.00,
"(mother-speech, m_gaze_at, infant_voc)","(i_gaze_at, inf",_smile),0.149,29,34679.00,
"(mo_smile, inf_smile)",(mother-speech),,0.149,1,75858.00,
"(mo_smile, i_gaze_at, inf_smile)","(mother-speech,",m_gaze_at_object),0.149,41,48639.00,
"(mo_smile, i_gaze_at, inf_smile)",(m_gaze_at_obje,ct),0.149,41,48639.00,
"(mother-speech, mo_smile, i_gaze_at, inf_smile)",(m_gaze_at_obje,ct),0.149,41,48639.00,
"(mother-speech, infant_voc, inf_smile, i_gaze_at_object)",(mo_smile),,0.149,2,1403.00,
"(infant_voc, inf_smile, i_gaze_at_object)",(mo_smile),,0.149,2,1403.00,
"(infant_voc, inf_smile, i_gaze_at_object)","(mother-speech,",mo_smile),0.149,2,1403.00,
"(m_gaze_at, infant_voc)","(mother-speech,","i_gaze_at, inf_smile)",0.149,29,34679.00,
"(m_gaze_at, infant_voc)","(i_gaze_at, inf",_smile),0.149,29,34679.00,
"(m_gaze_at, i_gaze_at, inf_smile, m_gaze_at_object)",(infant_voc),,0.148,1,0.095,
"(m_gaze_at, i_gaze_at, inf_smile, m_gaze_at_object)","(mother-speech,",infant_voc),0.148,1,0.095,
"(mother-speech, m_gaze_at, i_gaze_at, inf_smile, m_gaze_at_object)",(infant_voc),,0.148,1,0.095,
"(mother-speech, i_gaze_at)","(mo_smile, inf_",smile),0.148,187,316177.00,
(mother-speech),"(i_gaze_at, inf",_smile),0.147,345,583496.00,
(i_gaze_at),"(mother-speech,","mo_smile, inf_smile)",0.147,187,316177.00,
(i_gaze_at),"(mo_smile, inf_",smile),0.147,187,316177.00,
"(mother-speech, infant_voc, inf_smile)","(m_gaze_at, mo_","smile, i_gaze_at)",0.147,14,19546.00,
"(infant_voc, inf_smile)","(mother-speech,","m_gaze_at, mo_smile, i_gaze_at)",0.147,14,19546.00,
"(infant_voc, inf_smile)","(m_gaze_at, mo_","smile, i_gaze_at)",0.147,14,19546.00,
"(mother-speech, mo_smile, infant_voc)","(i_gaze_at, inf",_smile),0.145,15,19224.00,
"(mo_smile, infant_voc)","(mother-speech,","i_gaze_at, inf_smile)",0.145,15,19224.00,
"(mo_smile, infant_voc)","(i_gaze_at, inf",_smile),0.145,15,19224.00,
"(mother-speech, m_gaze_away)",(i_gaze_at_obje,ct),0.143,1,11176.00,
"(mother-speech, mo_smile, infant_voc, i_gaze_away)",(m_gaze_at),,0.14,2,21186.00,
"(mo_smile, infant_voc, i_gaze_away)",(m_gaze_at),,0.14,2,21186.00,
"(mo_smile, infant_voc, i_gaze_away)","(mother-speech,",m_gaze_at),0.14,2,21186.00,
(m_gaze_away),(i_gaze_at_obje,ct),0.138,1,11176.00,
(m_gaze_away),"(mother-speech,",i_gaze_at_object),0.138,1,11176.00,
"(infant_voc, i_gaze_at_object)","(mother-speech,",m_gaze_at),0.138,9,7868.00,
"(infant_voc, i_gaze_at_object)",(m_gaze_at),,0.138,9,7868.00,
"(mother-speech, infant_voc, i_gaze_at_object)",(m_gaze_at),,0.138,9,7868.00,
(mother-speech),(i_gaze_away),,0.137,149,540.44,
"(mother-speech, m_gaze_away, inf_smile)",(mo_smile),,0.136,1,5975.00,
"(mother-speech, m_gaze_at, i_gaze_away)",(inf_smile),,0.136,20,32739.00,
"(m_gaze_at, i_gaze_away)","(mother-speech,",inf_smile),0.136,20,32739.00,
"(m_gaze_at, i_gaze_away)",(inf_smile),,0.136,20,32739.00,
"(mother-speech, mo_smile, infant_voc)","(m_gaze_at, i_g","aze_at, inf_smile)",0.136,15,17.96,
"(mo_smile, infant_voc)","(mother-speech,","m_gaze_at, i_gaze_at, inf_smile)",0.135,15,17.96,
"(mo_smile, infant_voc)","(m_gaze_at, i_g","aze_at, inf_smile)",0.135,15,17.96,
"(inf_smile, i_gaze_at_object)","(mother-speech,",m_gaze_at),0.135,11,13767.00,
"(inf_smile, i_gaze_at_object)",(m_gaze_at),,0.135,11,13767.00,
"(mother-speech, inf_smile, i_gaze_at_object)",(m_gaze_at),,0.135,11,13767.00,
"(m_gaze_at, i_gaze_at, inf_smile)","(mother-speech,",infant_voc),0.133,73,55481.00,
"(m_gaze_at, i_gaze_at, inf_smile)",(infant_voc),,0.133,73,55481.00,
"(mother-speech, m_gaze_at, i_gaze_at, inf_smile)",(infant_voc),,0.133,73,55481.00,
"(mother-speech, mo_smile, inf_smile, i_gaze_away)",(m_gaze_away),,0.133,1,9075.00,
"(mo_smile, inf_smile, i_gaze_away)","(mother-speech,",m_gaze_away),0.133,1,9075.00,
"(mo_smile, inf_smile, i_gaze_away)",(m_gaze_away),,0.133,1,9075.00,
"(m_gaze_at, inf_smile, m_gaze_at_object)","(mother-speech,","i_gaze_at, infant_voc)",0.131,1,0.095,
"(m_gaze_at, inf_smile, m_gaze_at_object)",(infant_voc),,0.131,1,0.095,
"(m_gaze_at, inf_smile, m_gaze_at_object)","(mother-speech,",infant_voc),0.131,1,0.095,
"(m_gaze_at, inf_smile, m_gaze_at_object)","(i_gaze_at, inf",ant_voc),0.131,1,0.095,
"(mother-speech, m_gaze_at, inf_smile, m_gaze_at_object)",(infant_voc),,0.131,1,0.095,
"(mother-speech, m_gaze_at, inf_smile, m_gaze_at_object)","(i_gaze_at, inf",ant_voc),0.131,1,0.095,
"(mother-speech, m_gaze_at_object)",(i_gaze_away),,0.131,56,203918.00,
(m_gaze_at_object),(i_gaze_away),,0.131,56,203918.00,
(m_gaze_at_object),"(mother-speech,",i_gaze_away),0.131,56,203918.00,
"(mother-speech, m_gaze_at_object, i_gaze_at_object)",(mo_smile),,0.131,28,66.3,
"(m_gaze_at_object, i_gaze_at_object)","(mother-speech,",mo_smile),0.131,28,66.3,
"(m_gaze_at_object, i_gaze_at_object)",(mo_smile),,0.131,28,66.3,
"(i_gaze_away, m_gaze_at_object)","(mother-speech,",inf_smile),0.131,13,33048.00,
"(i_gaze_away, m_gaze_at_object)",(inf_smile),,0.131,13,33048.00,
"(mother-speech, i_gaze_away, m_gaze_at_object)",(inf_smile),,0.131,13,33048.00,
"(mother-speech, m_gaze_at, i_gaze_at, infant_voc)","(mo_smile, inf_",smile),0.13,21,22675.00,
"(m_gaze_at, i_gaze_at, infant_voc)","(mother-speech,","mo_smile, inf_smile)",0.13,21,22675.00,
"(m_gaze_at, i_gaze_at, infant_voc)","(mo_smile, inf_",smile),0.13,21,22675.00,
"(mother-speech, m_gaze_at, i_gaze_away)","(mo_smile, inf_",smile),0.129,14,31257.00,
"(m_gaze_at, i_gaze_away)","(mother-speech,","mo_smile, inf_smile)",0.129,14,31257.00,
"(m_gaze_at, i_gaze_away)","(mo_smile, inf_",smile),0.129,14,31257.00,
(i_gaze_away),"(mother-speech,","m_gaze_at, mo_smile)",0.129,45,70063.00,
(i_gaze_away),"(m_gaze_at, mo_",smile),0.129,45,70063.00,
"(mother-speech, i_gaze_away)","(m_gaze_at, mo_",smile),0.129,45,70063.00,
"(mother-speech, infant_voc, i_gaze_away)",(m_gaze_at),,0.128,9,6431.00,
"(infant_voc, i_gaze_away)","(mother-speech,",m_gaze_at),0.128,9,6431.00,
"(infant_voc, i_gaze_away)",(m_gaze_at),,0.128,9,6431.00,
(mother-speech),(m_gaze_at_obje,"ct, i_gaze_at_object)",0.128,195,505279.00,
"(m_gaze_away, inf_smile)","(mother-speech,",mo_smile),0.128,1,5975.00,
(mother-speech),"(mo_smile, inf_",smile),0.128,264,505027.00,
"(m_gaze_away, i_gaze_at)",(mother-speech),,0.127,1,0.587,
"(mother-speech, inf_smile)",(i_gaze_away),,0.127,60,141991.00,
(inf_smile),(i_gaze_away),,0.126,60,141991.00,
(inf_smile),"(mother-speech,",i_gaze_away),0.126,60,141991.00,
"(infant_voc, i_gaze_at_object)","(mother-speech,",m_gaze_at_object),0.124,8,7099.00,
"(infant_voc, i_gaze_at_object)",(m_gaze_at_obje,ct),0.124,8,7099.00,
"(mother-speech, infant_voc, i_gaze_at_object)",(m_gaze_at_obje,ct),0.124,8,7099.00,
"(mother-speech, m_gaze_at, mo_smile, i_gaze_at, inf_smile)",(infant_voc),,0.123,40,30361.00,
"(m_gaze_at, mo_smile, i_gaze_at, inf_smile)",(infant_voc),,0.123,40,30361.00,
"(m_gaze_at, mo_smile, i_gaze_at, inf_smile)","(mother-speech,",infant_voc),0.123,40,30361.00,
(i_gaze_at_object),"(mother-speech,","m_gaze_at, mo_smile)",0.121,69,107554.00,
(i_gaze_at_object),"(m_gaze_at, mo_",smile),0.121,69,107554.00,
"(mother-speech, i_gaze_at_object)","(m_gaze_at, mo_",smile),0.121,69,107554.00,
"(mo_smile, i_gaze_away)","(mother-speech,","m_gaze_at, inf_smile)",0.12,11,20798.00,
"(mo_smile, i_gaze_away)","(m_gaze_at, inf",_smile),0.12,11,20798.00,
"(mother-speech, mo_smile, i_gaze_away)","(m_gaze_at, inf",_smile),0.12,11,20798.00,
"(mother-speech, infant_voc)","(m_gaze_at, inf",_smile),0.119,42,47701.00,
(infant_voc),"(mother-speech,","m_gaze_at, inf_smile)",0.119,42,47701.00,
(infant_voc),"(m_gaze_at, inf",_smile),0.119,42,47701.00,
"(mother-speech, infant_voc)","(m_gaze_at, mo_",smile),0.115,42,46.09,
"(mo_smile, i_gaze_at, inf_smile, m_gaze_at_object)",(mother-speech),,0.115,1,6418.00,
"(mother-speech, i_gaze_at, inf_smile)",(infant_voc),,0.115,95,67281.00,
"(i_gaze_at, inf_smile)","(mother-speech,",infant_voc),0.115,95,67281.00,
"(i_gaze_at, inf_smile)",(infant_voc),,0.115,95,67281.00,
(infant_voc),"(mother-speech,","m_gaze_at, mo_smile)",0.115,42,46.09,
(infant_voc),"(m_gaze_at, mo_",smile),0.115,42,46.09,
"(mother-speech, mo_smile, infant_voc, m_gaze_at_object)",(i_gaze_at),,0.115,3,2419.00,
"(mo_smile, infant_voc, m_gaze_at_object)",(i_gaze_at),,0.115,3,2419.00,
"(mo_smile, infant_voc, m_gaze_at_object)","(mother-speech,",i_gaze_at),0.115,3,2419.00,
"(mother-speech, inf_smile, m_gaze_at_object)",(mo_smile),,0.114,14,45212.00,
"(mother-speech, m_gaze_at, inf_smile)",(infant_voc),,0.114,109,71095.00,
"(m_gaze_at, inf_smile)","(mother-speech,",infant_voc),0.114,109,71095.00,
"(m_gaze_at, inf_smile)",(infant_voc),,0.114,109,71095.00,
"(inf_smile, m_gaze_at_object)","(mother-speech,",mo_smile),0.114,14,45212.00,
"(inf_smile, m_gaze_at_object)",(mo_smile),,0.114,14,45212.00,
"(m_gaze_at, mo_smile, i_gaze_away)",(inf_smile),,0.113,6,10151.00,
"(m_gaze_at, mo_smile, i_gaze_away)","(mother-speech,",inf_smile),0.113,6,10151.00,
"(mother-speech, m_gaze_at, mo_smile, i_gaze_away)",(inf_smile),,0.113,6,10151.00,
"(m_gaze_at, i_gaze_at)",(infant_voc),,0.113,235,164361.00,
"(mother-speech, m_gaze_at, i_gaze_at)",(infant_voc),,0.113,233,163557.00,
"(m_gaze_at, i_gaze_at)","(mother-speech,",infant_voc),0.112,233,163557.00,
"(mother-speech, mo_smile, inf_smile)",(i_gaze_away),,0.111,27,56551.00,
"(mo_smile, m_gaze_at_object)","(mother-speech,","i_gaze_at, inf_smile)",0.111,14,38043.00,
"(mo_smile, m_gaze_at_object)","(i_gaze_at, inf",_smile),0.111,14,38043.00,
"(mother-speech, mo_smile, m_gaze_at_object)","(i_gaze_at, inf",_smile),0.111,14,38043.00,
"(mother-speech, i_gaze_at)","(m_gaze_at, mo_","smile, inf_smile)",0.111,194,238228.00,
"(mother-speech, m_gaze_at, infant_voc)","(mo_smile, inf_",smile),0.111,26,25878.00,
"(mother-speech, infant_voc)","(mo_smile, i_ga",ze_at),0.111,31,44476.00,
"(mo_smile, inf_smile)",(i_gaze_away),,0.111,27,56551.00,
"(mo_smile, inf_smile)","(mother-speech,",i_gaze_away),0.111,27,56551.00,
"(mother-speech, i_gaze_at, infant_voc)","(mo_smile, inf_",smile),0.111,22,24704.00,
(infant_voc),"(mo_smile, i_ga",ze_at),0.111,31,44476.00,
(infant_voc),"(mother-speech,","mo_smile, i_gaze_at)",0.111,31,44476.00,
"(m_gaze_at, infant_voc)","(mother-speech,","mo_smile, inf_smile)",0.111,26,25878.00,
"(m_gaze_at, infant_voc)","(mo_smile, inf_",smile),0.111,26,25878.00,
(i_gaze_at),"(mother-speech,","m_gaze_at, mo_smile, inf_smile)",0.111,194,238228.00,
(i_gaze_at),"(m_gaze_at, mo_","smile, inf_smile)",0.111,194,238228.00,
"(i_gaze_at, infant_voc)","(mother-speech,","mo_smile, inf_smile)",0.11,22,24704.00,
"(i_gaze_at, infant_voc)","(mo_smile, inf_",smile),0.11,22,24704.00,
"(mother-speech, m_gaze_at)","(mo_smile, i_ga","ze_at, inf_smile)",0.109,179,232655.00,
"(mother-speech, inf_smile)","(i_gaze_at, m_g",aze_at_object),0.109,91,122377.00,
"(mother-speech, m_gaze_away)","(mo_smile, i_ga",ze_at_object),0.109,3,8533.00,
(m_gaze_at),"(mother-speech,","mo_smile, i_gaze_at, inf_smile)",0.109,179,232655.00,
(m_gaze_at),"(mo_smile, i_ga","ze_at, inf_smile)",0.109,179,232655.00,
"(mo_smile, i_gaze_at, inf_smile)","(mother-speech,",infant_voc),0.109,54,35604.00,
"(mo_smile, i_gaze_at, inf_smile)",(infant_voc),,0.109,54,35604.00,
"(mother-speech, mo_smile, i_gaze_at, inf_smile)",(infant_voc),,0.109,54,35604.00,
(inf_smile),"(mother-speech,","i_gaze_at, m_gaze_at_object)",0.109,91,122377.00,
(inf_smile),"(i_gaze_at, m_g",aze_at_object),0.109,91,122377.00,
(i_gaze_away),"(mother-speech,","mo_smile, inf_smile)",0.108,18,58696.00,
(i_gaze_away),"(mo_smile, inf_",smile),0.108,18,58696.00,
"(mother-speech, i_gaze_away)","(mo_smile, inf_",smile),0.108,18,58696.00,
"(mother-speech, inf_smile, m_gaze_at_object)",(i_gaze_at_obje,ct),0.108,22,42949.00,
(i_gaze_at_object),"(mother-speech,","mo_smile, m_gaze_at_object)",0.108,68,95891.00,
(i_gaze_at_object),"(mo_smile, m_ga",ze_at_object),0.108,68,95891.00,
"(mother-speech, i_gaze_at_object)","(mo_smile, m_ga",ze_at_object),0.108,68,95891.00,
