"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(mother-speech;i_gaze_at;inf_smile)","(mo_smile)",0.562,4,66.968,0.0,1.0,0.0,23
"(mother-speech)","(mo_smile)",0.374,61,307.697,0.0,0.64,0.0,100
"(inf_smile)","(m_gaze_at;mother-speech)",0.259,222,246.253,0.08064516129032258,0.9838709677419355,0.04838709677419355,62
"(m_gaze_at;i_gaze_at;inf_smile)","(mo_smile)",0.565,18,162.916,0.0,0.8666666666666667,0.0,30
"(mo_smile;i_gaze_at)","(mother-speech)",0.409,265,311.998,0.0,0.019230769230769232,0.0,52
"(mo_smile;i_gaze_at;inf_smile)","(m_gaze_at_object)",0.168,26,40.665,1.0,0.0,0.4117647058823529,17
"(mother-speech;inf_smile)","(mo_smile;i_gaze_at)",0.31,7,69.98,0.0,0.9534883720930233,0.0,43
"(mo_smile;inf_smile)","(mother-speech)",0.42,130,166.415,0.05660377358490566,0.0,0.0,53
"(mo_smile;m_gaze_at)","(mother-speech;inf_smile)",0.18,147,138.462,0.0,0.0,0.0,19
"(m_gaze_at)","(mother-speech;i_gaze_at)",0.324,587,608.963,0.0,0.0,0.0,68
"(mo_smile;i_gaze_at;infant_voc)","(m_gaze_at;inf_smile)",0.356,2,12.652,0.0,0.8,0.0,5
"(mo_smile;inf_smile;i_gaze_away)","(m_gaze_at;mother-speech)",0.193,12,9.165,0.3333333333333333,0.08333333333333333,0.0,12
"(i_gaze_at;inf_smile)","(mo_smile;m_gaze_at)",0.394,45,173.492,0.0,0.6153846153846154,0.0,13
"(m_gaze_at;inf_smile)","(mother-speech)",0.47,153,217.085,0.0,0.9473684210526315,0.05263157894736842,76
"(m_gaze_at;i_gaze_at)","(mo_smile;inf_smile)",0.172,139,218.693,0.0,0.0,0.0,35
"(m_gaze_away)","(mo_smile;i_gaze_away)",0.316,1,19.915,0.0,1.0,0.0,15
"(mo_smile;m_gaze_at;i_gaze_at)","(mother-speech;inf_smile)",0.182,103,97.169,0.0,0.0,0.0,5
"(m_gaze_at)","(mo_smile)",0.469,224,880.695,0.0,0.46,0.0,100
"(mo_smile)","(inf_smile)",0.336,125,433.911,0.0,0.99,0.0,100
"(i_gaze_away)","(m_gaze_at_object)",0.438,54,195.229,0.01,0.26,0.04,100
