"antecedent","succedent","p_con","p_occ","p_dur","null_obs"
"(mo_smile;infant_voc;inf_smile)","(mo_smile;infant_voc;inf_smile)",0.0,1.0,0.0,8
"(m_gaze_at;mother-speech;i_gaze_at;inf_smile)","(m_gaze_at;mother-speech;i_gaze_at;inf_smile)",0.0,0.6153846153846154,0.0,13
"(infant_voc)","(infant_voc)",0.0,1.0,0.2,5
"(inf_smile)","(inf_smile)",0.0,0.9807692307692307,0.0,52
"(i_gaze_at)","(i_gaze_at)",0.04,0.9466666666666667,0.05333333333333334,75
"(mo_smile)","(mo_smile)",0.0,0.49,0.0,100
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.0,0.0,62
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.16666666666666666,0.0,6
"(m_gaze_at;infant_voc;inf_smile)","(m_gaze_at;infant_voc;inf_smile)",0.0,0.4,0.0,5
"(mo_smile;m_gaze_at)","(mo_smile;m_gaze_at)",0.0,0.0,0.0,25
"(m_gaze_at)","(m_gaze_at)",0.0,0.44871794871794873,0.0,78
"(m_gaze_at;i_gaze_at;infant_voc)","(m_gaze_at;i_gaze_at;infant_voc)",0.09523809523809523,0.9047619047619048,0.0,42
"(m_gaze_away)","(m_gaze_away)",0.0,1.0,0.0,83
"(m_gaze_at;mother-speech;inf_smile)","(m_gaze_at;mother-speech;inf_smile)",0.0,0.6976744186046512,0.0,43
"(mo_smile;inf_smile)","(mo_smile;inf_smile)",0.0,0.125,0.0,40
"(m_gaze_away;inf_smile)","(m_gaze_away;inf_smile)",0.3157894736842105,0.0,0.0,19
"(mo_smile;m_gaze_at;inf_smile)","(mo_smile;m_gaze_at;inf_smile)",0.0,0.4444444444444444,0.0,9
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.0,0.9629629629629629,0.0,27
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.0,0.0,35
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,1.0,0.0,28
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.0,0.6086956521739131,0.0,46
"(m_gaze_at)","(m_gaze_at)",0.0,0.019230769230769232,0.0,52
"(mother-speech;i_gaze_away;m_gaze_at_object)","(mother-speech;i_gaze_away;m_gaze_at_object)",0.0,0.6666666666666666,0.5,6
"(m_gaze_at;i_gaze_at;inf_smile)","(m_gaze_at;i_gaze_at;inf_smile)",0.0,0.1111111111111111,0.0,9
"(m_gaze_away)","(m_gaze_away)",0.0,1.0,0.0,12
"(m_gaze_at;infant_voc)","(m_gaze_at;infant_voc)",0.0,0.813953488372093,0.0,43
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.8387096774193549,0.0,31
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.0,0.0,13
"(i_gaze_at)","(i_gaze_at)",0.0,0.68,0.0,100
"(m_gaze_at;i_gaze_at;infant_voc;inf_smile)","(m_gaze_at;i_gaze_at;infant_voc;inf_smile)",0.0,0.16666666666666666,0.0,6
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.02,0.88,0.16,50
"(m_gaze_at;mother-speech;i_gaze_at)","(m_gaze_at;mother-speech;i_gaze_at)",0.0,0.0,0.0,42
"(inf_smile)","(inf_smile)",0.0,0.88,0.0,25
"(m_gaze_at)","(m_gaze_at)",0.0,0.94,0.0,100
"(m_gaze_at;mother-speech;inf_smile)","(m_gaze_at;mother-speech;inf_smile)",0.0,0.5882352941176471,0.0,17
"(mo_smile;m_gaze_at;inf_smile)","(mo_smile;m_gaze_at;inf_smile)",0.0,0.0,0.0,9
"(mo_smile;infant_voc)","(mo_smile;infant_voc)",0.03225806451612903,0.8387096774193549,0.1774193548387097,62
"(mother-speech;i_gaze_at)","(mother-speech;i_gaze_at)",0.0,0.023809523809523808,0.0,42
"(mo_smile;i_gaze_at)","(mo_smile;i_gaze_at)",0.0,0.0,0.0,44
"(mo_smile;m_gaze_at;infant_voc)","(mo_smile;m_gaze_at;infant_voc)",0.0,0.75,0.0,8
"(infant_voc;inf_smile)","(infant_voc;inf_smile)",0.03333333333333333,1.0,0.0,30
"(i_gaze_at;inf_smile)","(i_gaze_at;inf_smile)",0.0,0.94,0.1,50
"(m_gaze_at;mother-speech)","(m_gaze_at;mother-speech)",0.0,0.0,0.0,35
"(i_gaze_at;infant_voc)","(i_gaze_at;infant_voc)",0.0,0.7368421052631579,0.0,19
"(m_gaze_at;i_gaze_at_object)","(m_gaze_at;i_gaze_at_object)",0.012048192771084338,0.927710843373494,0.6265060240963856,83
