"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(m_gaze_at_object;mo_smile;i_gaze_at_object;inf_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_away;m_gaze_at;inf_smile)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,7
"(mo_smile;infant_voc;i_gaze_at_object;m_gaze_at_object)","(mother-speech;inf_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(infant_voc;inf_smile;mo_smile;i_gaze_at_object)","(mother-speech;m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at_object;i_gaze_away;infant_voc;inf_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,2
"(mother-speech;m_gaze_at;i_gaze_at_object)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,23
"(m_gaze_at;inf_smile;infant_voc)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,44
"(i_gaze_at;inf_smile)","(mother-speech;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,34
"(m_gaze_at_object;mo_smile)","(mother-speech;i_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,12
"(mo_smile;mother-speech;inf_smile;infant_voc;i_gaze_at)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,1
"(infant_voc)","(mother-speech;i_gaze_at)",0.145,38,28.821,0.9852941176470589,0.9852941176470589,0.9852941176470589,68
"(mother-speech;m_gaze_at;i_gaze_away;mo_smile;infant_voc)","(inf_smile)",999.0,999,999.0,999.0,999.0,999.0,1
"(m_gaze_at;mother-speech;inf_smile;i_gaze_at;mo_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,5
"(m_gaze_at_object;mother-speech)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,48
"(mo_smile;mother-speech;i_gaze_at;m_gaze_away)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;mother-speech;infant_voc;inf_smile)","(mo_smile;m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,1
"(mother-speech;i_gaze_at;infant_voc;inf_smile)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(m_gaze_at;inf_smile;infant_voc;i_gaze_at)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,5
"(mother-speech;m_gaze_at;i_gaze_at;inf_smile)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,3
