"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(m_gaze_at;i_gaze_at;infant_voc)","(mo_smile;mother-speech)",0.181,22,13.28,0.08333333333333333,0.16666666666666666,0.0,12
"(mother-speech;m_gaze_away)","(infant_voc)",0.352,2,2.192,0.024390243902439025,0.926829268292683,0.2682926829268293,41
"(mother-speech)","(m_gaze_at;i_gaze_at)",0.41,126,337.845,0.0,0.44,0.0,75
"(m_gaze_at;mother-speech)","(i_gaze_at)",0.691,52,303.102,0.0,0.031746031746031744,0.0,63
"(inf_smile)","(mo_smile;mother-speech)",0.226,232,214.958,0.0,0.041666666666666664,0.0,24
"(mother-speech;i_gaze_at)","(mo_smile)",0.442,71,200.758,0.0,0.7794117647058824,0.0,68
"(mo_smile;inf_smile)","(m_gaze_at_object)",0.182,57,72.126,1.0,0.0,0.9807692307692307,52
"(mo_smile;mother-speech;i_gaze_at)","(m_gaze_at;inf_smile)",0.351,40,65.4,0.0,0.0,0.0,8
"(mo_smile;mother-speech;inf_smile)","(m_gaze_at_object)",0.151,20,15.515,1.0,0.0,0.5714285714285714,14
"(mo_smile;inf_smile)","(m_gaze_at;mother-speech;i_gaze_at)",0.249,104,98.704,0.0,0.0,0.0,24
"(mother-speech;infant_voc)","(inf_smile)",0.331,8,12.529,0.036585365853658534,0.6707317073170732,0.21951219512195122,82
"(infant_voc)","(inf_smile)",0.324,28,64.525,0.0,0.65,0.02,100
"(mother-speech)","(mo_smile)",0.394,116,324.323,0.02,0.97,0.0,100
"(mo_smile;i_gaze_at)","(mother-speech)",0.45,327,343.315,0.0,0.0,0.0,52
"(mother-speech;inf_smile)","(mo_smile;i_gaze_at)",0.336,22,75.792,0.0,0.9318181818181818,0.0,44
"(m_gaze_at)","(mother-speech;i_gaze_at)",0.34,637,638.228,0.0,0.0,0.0,68
"(m_gaze_at)","(mo_smile)",0.477,258,894.11,0.0,0.14,0.0,100
"(mo_smile;inf_smile)","(infant_voc)",0.111,62,44.09,0.4666666666666667,0.06666666666666667,0.0,15
"(i_gaze_away)","(m_gaze_at_object)",0.446,65,198.963,0.01,0.22,0.03,100
"(i_gaze_at;infant_voc)","(m_gaze_at)",0.715,8,70.512,0.0,0.9852941176470589,0.07352941176470588,68
"(m_gaze_at;inf_smile)","(mo_smile)",0.587,62,270.727,0.0,0.5714285714285714,0.0,77
"(mo_smile)","(m_gaze_at;mother-speech)",0.298,414,384.801,0.0,0.0,0.0,63
"(m_gaze_at;i_gaze_at;infant_voc;inf_smile)","(mo_smile)",0.541,4,14.632,0.0,0.4,0.0,5
"(m_gaze_at;inf_smile;i_gaze_away)","(mo_smile;mother-speech)",0.297,23,15.564,0.0,0.09090909090909091,0.0,11
"(m_gaze_at;i_gaze_away)","(mo_smile;inf_smile)",0.181,12,30.397,0.029411764705882353,1.0,0.5294117647058824,34
